date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:14	53207/53207	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202017%2015:09:38%20GMT	http://usdtheme.com/preview-styles/	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/index.html	(from )
16:14:14	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Sep%202017%2015:14:31%20GMT	http://usdtheme.com/robots.txt		(from )
16:14:15	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2004%20May%202016%2006:49:14%20GMT	http://usdtheme.com/preview-styles/img/logo/favicon.ico	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/img/logo/favicon.ico	(from http://usdtheme.com/preview-styles/)
16:14:17	658/658	---MC-	200	added ('OK')	text/css	date:Fri,%2001%20Sep%202017%2015:14:34%20GMT	https://fonts.googleapis.com/css?family=Lato:400,400italic,700	C:/Users/AKIN/Desktop/hair%20style/hair%201/fonts.googleapis.com/css907c.css	(from http://usdtheme.com/preview-styles/)
16:14:19	1238/1238	---MC-	200	added ('OK')	text/css	date:Fri,%2001%20Sep%202017%2015:14:35%20GMT	https://fonts.googleapis.com/css?family=Raleway:400,400italic,500,600,700	C:/Users/AKIN/Desktop/hair%20style/hair%201/fonts.googleapis.com/css77ab.css	(from http://usdtheme.com/preview-styles/)
16:14:20	8498/8498	---M--	200	added ('OK')	text/css	date:Sat,%2002%20Apr%202016%2006:57:22%20GMT	http://usdtheme.com/preview-styles/lib/css/nivo-slider.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/lib/css/nivo-slider.css	(from http://usdtheme.com/preview-styles/)
16:14:21	4057/4057	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Oct%202016%2004:06:48%20GMT	http://usdtheme.com/preview-styles/lib/css/preview.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/lib/css/preview.css	(from http://usdtheme.com/preview-styles/)
16:14:22	110143/110143	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Mar%202016%2014:05:34%20GMT	http://usdtheme.com/preview-styles/css/bootstrap.min.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/bootstrap.min.css	(from http://usdtheme.com/preview-styles/)
16:14:23	2340/2340	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202016%2003:47:22%20GMT	http://usdtheme.com/preview-styles/lib/css/style.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/lib/css/style.css	(from http://usdtheme.com/preview-styles/)
16:14:25	7785/7785	---M--	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202017%2011:32:02%20GMT	http://usdtheme.com/preview-styles/css/bootstrap-datetimepicker.min.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/bootstrap-datetimepicker.min.css	(from http://usdtheme.com/preview-styles/)
16:14:26	2842/2842	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Mar%202016%2015:38:28%20GMT	http://usdtheme.com/preview-styles/css/meanmenu.min.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/meanmenu.min.css	(from http://usdtheme.com/preview-styles/)
16:14:26	4614/4614	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jun%202014%2023:51:42%20GMT	http://usdtheme.com/preview-styles/css/owl.carousel.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/owl.carousel.css	(from http://usdtheme.com/preview-styles/)
16:14:27	74096/74096	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Dec%202015%2018:43:28%20GMT	http://usdtheme.com/preview-styles/css/animate.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/animate.css	(from http://usdtheme.com/preview-styles/)
16:14:27	4476/4476	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Apr%202014%2023:33:26%20GMT	http://usdtheme.com/preview-styles/css/owl.transitions.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/owl.transitions.css	(from http://usdtheme.com/preview-styles/)
16:14:29	27466/27466	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Feb%202016%2019:45:24%20GMT	http://usdtheme.com/preview-styles/css/font-awesome.min.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/font-awesome.min.css	(from http://usdtheme.com/preview-styles/)
16:14:29	7664/7664	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202016%2015:35:48%20GMT	http://usdtheme.com/preview-styles/css/venobox.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/venobox.css	(from http://usdtheme.com/preview-styles/)
16:14:32	5044/5044	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Oct%202016%2000:27:20%20GMT	http://usdtheme.com/preview-styles/css/responsive.css	C:/Users/AKIN/Desktop/hair%20style/hair%201/usdtheme.com/preview-styles/css/responsive.css	(from http://usdtheme.com/preview-styles/)
